result_id,description,bspc_status,classification,evidence_source,duplication_flag,notes
covariance_geometry_by_manufacturer,"Figure 3: Covariance geometry by manufacturer (Ledoit-Wolf shrinkage, Bures-Wasserstein)",not_in_bspc,new_primary,site_geometry_analysis_protocol_v4.tex Sec.'Figure 3'; adni_oasis_wasserstein/,NONE,"Wholly new geometric quantification, no BSPC precedent."
manufacturer_direction_traversal,Manufacturer-direction latent traversal + decoded connectome delta matrices + network block effects (raw-score/exploratory N=12 flip-rate result; official Stage-B N=45 traversal BLOCKED -- OOF-ECDF transformer objects not persisted),not_in_bspc,new_primary,post_revision_exploratory_20260630/locked_model_site_effect_mechanistic_audit_20260704/; site_geometry_foldlocal_confirmatory_20260705/,NONE,"Must be reported with its own caveat: N=12 raw-score result is exploratory and must not be conflated with the official N=45 Stage-B FP count, which remains blocked (see docs/sipaim_2026/ANALYSIS_DECISIONS.md item 8 precedent and this audit's own missing-artifact finding in score_component_audit.md)."
combat_contextual_comparison,ComBat comparison (contextual reference vs locked),not_in_bspc,new_primary,site_geometry_analysis_protocol_v4.tex Sec.'ComBat Comparison',NONE,New.
manufacturer_decoding_and_transport,Manufacturer decodability (BACC) and Philips/GE/Siemens CN-FPR transport under locked vs. clean ComBat,not_in_bspc,new_primary,results/sipaim_2026/manufacturer_decoding/; manufacturer_transport_and_supported_sites/,NONE,"Use ONLY the canonical cleanrepro numbers per docs/sipaim_2026/ANALYSIS_DECISIONS.md items 1 and 3 -- several superseded duplicates exist internally (not a BSPC duplication risk, an internal-SIPAIM one)."
site_decoding,SiteCode decodability (locked-model only),not_in_bspc,new_secondary,results/sipaim_2026/site_decoding_permutation/,NONE,Secondary/context claim; no ComBat-arm site decoding exists (per ANALYSIS_DECISIONS.md item 2) -- do not claim ComBat reduces site decodability.
classifier_only_loso,Leave-one-site-out classifier-only performance (locked vs. ComBat),not_in_bspc,new_secondary,results/sipaim_2026/classifier_only_loso/,NONE,"ComBat-arm LOSO number is a corrected/reconstructed cache, not the single-shot cleanrepro pipeline (ANALYSIS_DECISIONS.md item 4) -- flag as such if cited."
adni_oasis_wasserstein,"ADNI-OASIS latent Wasserstein distance (locked and ComBat arms, fold-local, with permutation test)",not_in_bspc,new_primary,results/sipaim_2026/adni_oasis_wasserstein/,NONE,Three related-but-distinct files exist; cite per ANALYSIS_DECISIONS.md item 6 to avoid internal duplication.
oasis_dataset_combat_adaptation,"External OASIS Dataset-ComBat adaptation (ADNI-reference and no-reference variants): methods, metrics, class-conditional feature alignment, Wasserstein",not_in_bspc,new_primary,site_geometry_analysis_protocol_v4.tex Sec.'External OASIS Dataset-ComBat Adaptation'; post_revision_exploratory_20260630/oasis_external_batch_combat_20260710/,NONE,BSPC has zero OASIS content; this is the core external-transportability contribution of SIPAIM.
oasis_cdr_label_sensitivity,"OASIS CDR label-definition sensitivity (current-180 vs strict-128, CDR 0/0.5/>=1 score trends, Spearman)",not_in_bspc,new_primary,site_geometry_analysis_protocol_v4.tex Sec.'OASIS CDR Label-Definition Sensitivity'; results/sipaim_2026/oasis_label_sensitivity_20260710/,NONE,Wholly new; BSPC never touches OASIS clinical labels.
oasis_cdr_scan_temporal_alignment,"CDR-to-scan temporal alignment sensitivity (3 mapping windows, unmapped-scan reporting, Age/Sex-adjusted partial rank association) -- produced by THIS audit",not_in_bspc,post_hoc,oasis_cdr_scan_alignment.csv/.md; cdr_temporal_sensitivity_metrics.csv/.md (this directory),NONE,"Post-hoc robustness check on the already-new oasis_cdr_label_sensitivity result, not an independent primary claim; strengthens it by showing tighter temporal windows raise pairwise AUC (0.709->0.730)."
diagnostic_centroid_geometry_revised,"Fold-local ADNI centroid-derived discriminant-axis geometry, prevalence-weighted, CN-CN/AD-AD shifts, Cohen's d, projected AUC, clinical-alignment margin, across 4 arms -- produced by THIS audit",not_in_bspc,post_hoc,diagnostic_centroid_geometry_revised.csv/.md (this directory),MEDIUM,"Reformulates and supersedes an earlier same-day evidence package's diagnostic-axis analysis (results/sipaim_2026/final_evidence_package_20260712/diagnostic_axis_geometry.csv) with corrected naming (not 'classifier decision axis'), prevalence weighting, and class-conditional shift decomposition. Do NOT merge into that earlier package's claim_evidence_matrix per explicit instruction -- treat as a standalone, more rigorous replacement output."
frozen_score_component_audit,Latent/Age/Sex decomposition of the OASIS logit + CDR association of the isolated latent component -- produced by THIS audit,not_in_bspc,post_hoc,score_component_audit.csv/.md (this directory),NONE,"Mechanistic follow-up confirming the CDR-severity signal lives in the latent component itself (partial rho=0.259, p<0.001, Age/Sex-adjusted), not merely in the classifier's Age/Sex terms. Also documents a missing-artifact finding (Stage-B/OOF-ECDF objects never persisted)."
tda_persistent_homology,Persistent homology / topological data analysis on ADNI-OASIS latents,not_in_bspc,not_a_claim,docs/sipaim_2026 topology_existing_artifact_audit.md; ANALYSIS_DECISIONS.md item 7,NONE,"TDA libraries unavailable in every checked environment; attempted and BLOCKED, not run. Must not be presented as a null/negative result -- must not be presented as a result at all beyond 'attempted, blocked'."
